market,contract,day,window,bias,sweep_time,entry_time,exit_time,entry,stop,target,risk_pts,outcome,exit,pts,r,r_net,dollars
NQ,NQF-continuous,2026-06-09,London 3-4am,bear,2026-06-09 03:00,2026-06-09 03:20,2026-06-09 03:25,29654.0,29677.75,29606.5,23.75,target,29606.5,47.5,2.0,1.979,940.0
NQ,NQF-continuous,2026-06-15,PM 2-3pm,bull,2026-06-15 14:05,2026-06-15 14:20,2026-06-15 14:30,30861.75,30832.5,30920.25,29.25,stop,30832.5,-29.25,-1.0,-1.017,-595.0
NQ,NQF-continuous,2026-06-16,London 3-4am,bear,2026-06-16 03:10,2026-06-16 03:50,2026-06-16 04:00,30820.75,30848.75,30764.75,28.0,stop,30848.75,-28.0,-1.0,-1.018,-570.0
NQ,NQF-continuous,2026-06-18,London 3-4am,bear,2026-06-18 03:05,2026-06-18 03:20,2026-06-18 03:55,30406.25,30438.75,30341.25,32.5,stop,30438.75,-32.5,-1.0,-1.015,-660.0
NQ,NQF-continuous,2026-06-18,PM 2-3pm,bear,2026-06-18 13:30,2026-06-18 14:40,2026-06-18 15:40,30684.25,30737.0,30578.75,52.75,stop,30737.0,-52.75,-1.0,-1.009,-1065.0
NQ,NQF-continuous,2026-06-24,London 3-4am,bull,2026-06-24 03:35,2026-06-24 03:50,2026-06-24 03:55,29812.0,29765.25,29905.5,46.75,stop,29765.25,-46.75,-1.0,-1.011,-945.0
NQ,NQF-continuous,2026-06-29,London 3-4am,bear,2026-06-29 02:40,2026-06-29 03:15,2026-06-29 03:45,29633.75,29685.0,29531.25,51.25,stop,29685.0,-51.25,-1.0,-1.01,-1035.0
NQ,NQF-continuous,2026-06-29,PM 2-3pm,bear,2026-06-29 13:30,2026-06-29 14:30,2026-06-29 14:35,30004.5,30038.5,29936.5,34.0,stop,30038.5,-34.0,-1.0,-1.015,-690.0
NQ,NQF-continuous,2026-07-06,London 3-4am,bear,2026-07-06 03:05,2026-07-06 03:30,2026-07-06 03:40,29839.75,29861.5,29796.25,21.75,stop,29861.5,-21.75,-1.0,-1.023,-445.0
NQ,NQF-continuous,2026-07-10,AM 10-11am,bear,2026-07-10 09:35,2026-07-10 10:25,2026-07-10 10:25,29911.75,29937.0,29861.25,25.25,stop,29937.0,-25.25,-1.0,-1.02,-515.0
NQ,NQF-continuous,2026-07-21,PM 2-3pm,bear,2026-07-21 13:50,2026-07-21 14:35,2026-07-21 16:35,29329.25,29365.0,29257.75,35.75,time,29300.0,29.25,0.82,0.804,575.0
NQ,NQF-continuous,2026-07-22,London 3-4am,bull,2026-07-22 03:05,2026-07-22 03:20,2026-07-22 03:35,29090.75,29050.75,29170.75,40.0,stop,29050.75,-40.0,-1.0,-1.012,-810.0
NQ,NQF-continuous,2026-07-31,London 3-4am,bull,2026-07-31 02:45,2026-07-31 03:15,2026-07-31 05:10,28509.75,28449.75,28629.75,60.0,target,28629.75,120.0,2.0,1.992,2390.0
NQ,NQ202609,2026-08-04,London 3-4am,bear,2026-08-04 03:00,2026-08-04 03:45,2026-08-04 03:45,29093.0,29100.5,29078.0,7.5,stop,29100.5,-7.5,-1.0,-1.067,-160.0
NQ,NQF-continuous,2026-08-06,PM 2-3pm,bear,2026-08-06 14:20,2026-08-06 14:45,2026-08-06 16:45,29524.5,29575.75,29422.0,51.25,time,29496.0,28.5,0.56,0.546,560.0
NQ,NQ202609,2026-08-11,London 3-4am,bull,2026-08-11 03:20,2026-08-11 03:40,2026-08-11 04:15,29770.0,29727.75,29854.5,42.25,stop,29727.75,-42.25,-1.0,-1.012,-855.0
NQ,NQ202609,2026-08-13,London 3-4am,bull,2026-08-13 02:45,2026-08-13 03:30,2026-08-13 03:40,29866.0,29858.0,29882.0,8.0,target,29882.0,16.0,2.0,1.938,310.0
NQ,NQF-continuous,2026-08-17,London 3-4am,bear,2026-08-17 02:40,2026-08-17 03:35,2026-08-17 04:10,30313.0,30327.25,30284.5,14.25,stop,30327.25,-14.25,-1.0,-1.035,-295.0
NQ,NQF-continuous,2026-08-18,AM 10-11am,bull,2026-08-18 09:30,2026-08-18 10:40,2026-08-18 10:40,29637.0,29631.0,29649.0,6.0,stop,29631.0,-6.0,-1.0,-1.083,-130.0
NQ,NQF-continuous,2026-08-18,PM 2-3pm,bull,2026-08-18 13:50,2026-08-18 14:25,2026-08-18 14:25,29592.5,29590.5,29596.5,2.0,stop,29590.5,-2.0,-1.0,-1.25,-50.0
